Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,NPS
ID0890,Diane,2021-01-16,14:11:02,Contract related,Y,Y,26.0,71.0,2.0,,,,,-100
ID0891,Jim,2021-01-16,14:25:26,Technical Support,Y,Y,95.0,57.0,6.0,,,,,-100
ID0892,Stewart,2021-01-16,14:25:26,Technical Support,Y,Y,45.0,108.0,8.0,,,,,0
ID0895,Dan,2021-01-16,14:49:55,Streaming,Y,N,76.0,400.0,6.0,,,,,-100
ID0896,Martha,2021-01-16,14:49:55,Streaming,Y,N,97.0,96.0,8.0,,,,,0
ID0898,Stewart,2021-01-16,15:24:29,Contract related,Y,Y,22.0,177.0,6.0,,,,,-100
ID0899,Becky,2021-01-16,15:30:14,Streaming,Y,N,55.0,52.0,6.0,,,,,-100
ID0900,Joe,2021-01-16,15:30:14,Payment related,Y,N,64.0,68.0,8.0,,,,,0
ID0901,Greg,2021-01-16,15:47:31,Streaming,Y,Y,87.0,73.0,6.0,,,,,-100
ID0903,Martha,2021-01-16,15:53:17,Streaming,Y,Y,79.0,240.0,8.0,,,,,0
ID0904,Becky,2021-01-16,15:53:17,Contract related,Y,Y,33.0,302.0,8.0,,,,,0
ID0905,Joe,2021-01-16,16:35:02,Technical Support,Y,Y,114.0,322.0,8.0,,,,,0
ID0906,Stewart,2021-01-16,16:35:02,Technical Support,Y,Y,112.0,54.0,10.0,,,,,100
ID0907,Becky,2021-01-16,16:36:29,Technical Support,Y,Y,61.0,374.0,6.0,,,,,-100
ID0909,Jim,2021-01-16,16:52:19,Payment related,Y,N,58.0,271.0,4.0,,,,,-100
ID0910,Becky,2021-01-16,16:52:19,Streaming,Y,Y,13.0,125.0,6.0,,,,,-100
ID0911,Stewart,2021-01-16,17:42:43,Contract related,Y,Y,36.0,238.0,8.0,,,,,0
ID0912,Greg,2021-01-16,17:42:43,Contract related,Y,Y,48.0,218.0,6.0,,,,,-100
ID0913,Stewart,2021-01-16,17:57:07,Payment related,Y,Y,99.0,33.0,10.0,,,,,100
ID0914,Joe,2021-01-16,17:57:07,Technical Support,Y,Y,78.0,107.0,6.0,,,,,-100
ID0915,Greg,2021-01-16,17:58:34,Streaming,Y,Y,82.0,172.0,8.0,,,,,0
ID0917,Stewart,2021-01-16,18:00:00,Streaming,Y,Y,19.0,103.0,10.0,,,,,100
ID0918,Becky,2021-01-16,18:00:00,Streaming,Y,Y,34.0,405.0,8.0,,,,,0
ID0919,Becky,2021-01-17,9:51:50,Technical Support,Y,Y,89.0,191.0,6.0,,,,,-100
ID0920,Martha,2021-01-17,9:51:50,Contract related,Y,Y,116.0,378.0,8.0,,,,,0
ID0921,Martha,2021-01-17,10:32:10,Streaming,Y,Y,88.0,243.0,8.0,,,,,0
ID0922,Stewart,2021-01-17,10:32:10,Streaming,Y,Y,15.0,184.0,6.0,,,,,-100
ID0923,Martha,2021-01-17,11:42:43,Contract related,Y,Y,59.0,137.0,10.0,,,,,100
ID0925,Martha,2021-01-17,11:42:43,Contract related,Y,Y,125.0,189.0,4.0,,,,,-100
ID0926,Greg,2021-01-17,11:42:43,Streaming,Y,Y,88.0,246.0,8.0,,,,,0
ID0927,Jim,2021-01-17,11:45:36,Streaming,Y,Y,20.0,279.0,10.0,,,,,100
ID0928,Stewart,2021-01-17,11:45:36,Contract related,Y,Y,64.0,346.0,6.0,,,,,-100
ID0930,Stewart,2021-01-17,12:38:53,Admin Support,Y,Y,111.0,139.0,10.0,,,,,100
ID0933,Joe,2021-01-17,13:29:17,Technical Support,Y,Y,40.0,181.0,8.0,,,,,0
ID0934,Martha,2021-01-17,13:29:17,Technical Support,Y,Y,35.0,187.0,4.0,,,,,-100
ID0935,Martha,2021-01-17,13:30:43,Contract related,Y,Y,106.0,167.0,10.0,,,,,100
ID0936,Diane,2021-01-17,13:30:43,Payment related,Y,Y,97.0,159.0,4.0,,,,,-100
ID0937,Diane,2021-01-17,13:36:29,Contract related,Y,Y,67.0,111.0,6.0,,,,,-100
ID0938,Stewart,2021-01-17,13:36:29,Contract related,Y,Y,98.0,76.0,10.0,,,,,100
ID0939,Joe,2021-01-17,13:53:46,Contract related,Y,Y,120.0,140.0,8.0,,,,,0
ID0940,Becky,2021-01-17,13:53:46,Technical Support,Y,Y,91.0,45.0,10.0,,,,,100
ID0941,Martha,2021-01-17,14:00:58,Payment related,Y,Y,22.0,293.0,10.0,,,,,100
ID0942,Diane,2021-01-17,14:00:58,Streaming,Y,N,113.0,165.0,4.0,,,,,-100
ID0944,Jim,2021-01-17,14:18:14,Payment related,Y,Y,60.0,118.0,8.0,,,,,0
ID0945,Diane,2021-01-17,14:28:19,Payment related,Y,Y,97.0,155.0,10.0,,,,,100
ID0946,Becky,2021-01-17,14:28:19,Streaming,Y,Y,118.0,52.0,8.0,,,,,0
ID0947,Dan,2021-01-17,14:31:12,Technical Support,Y,Y,19.0,81.0,10.0,,,,,100
ID0950,Dan,2021-01-17,15:00:00,Streaming,Y,Y,124.0,378.0,8.0,,,,,0
ID0951,Dan,2021-01-17,15:01:26,Payment related,Y,Y,53.0,311.0,4.0,,,,,-100
ID0952,Diane,2021-01-17,15:01:26,Admin Support,Y,Y,61.0,38.0,10.0,,,,,100
ID0953,Joe,2021-01-17,15:21:36,Contract related,Y,Y,18.0,46.0,2.0,,,,,-100
ID0954,Greg,2021-01-17,15:21:36,Admin Support,Y,Y,80.0,76.0,6.0,,,,,-100
ID0955,Stewart,2021-01-17,16:22:05,Technical Support,Y,Y,47.0,248.0,8.0,,,,,0
ID0956,Stewart,2021-01-17,16:22:05,Payment related,Y,Y,101.0,320.0,4.0,,,,,-100
ID0957,Joe,2021-01-17,16:24:58,Streaming,Y,Y,71.0,340.0,6.0,,,,,-100
ID0958,Martha,2021-01-17,16:24:58,Technical Support,Y,Y,44.0,247.0,8.0,,,,,0
ID0959,Becky,2021-01-17,16:29:17,Payment related,Y,Y,14.0,180.0,8.0,,,,,0
ID0961,Jim,2021-01-17,17:06:43,Contract related,Y,Y,44.0,160.0,4.0,,,,,-100
ID0962,Diane,2021-01-17,17:06:43,Admin Support,Y,Y,97.0,406.0,8.0,,,,,0
ID0964,Diane,2021-01-17,17:16:48,Admin Support,Y,N,91.0,249.0,6.0,,,,,-100
ID0965,Dan,2021-01-17,17:21:07,Payment related,Y,Y,48.0,193.0,6.0,,,,,-100
ID0966,Greg,2021-01-17,17:21:07,Contract related,Y,Y,45.0,99.0,6.0,,,,,-100
ID0967,Becky,2021-01-17,17:54:14,Admin Support,Y,Y,60.0,120.0,10.0,,,,,100
ID0968,Jim,2021-01-17,17:54:14,Streaming,Y,Y,85.0,332.0,8.0,,,,,0
ID0969,Joe,2021-01-18,9:24:29,Admin Support,Y,Y,53.0,366.0,8.0,,,,,0
ID0970,Greg,2021-01-18,9:24:29,Contract related,Y,N,27.0,374.0,10.0,,,,,100
ID0971,Joe,2021-01-18,9:24:29,Admin Support,Y,Y,30.0,243.0,6.0,,,,,-100
ID0973,Jim,2021-01-18,9:31:41,Admin Support,Y,Y,113.0,181.0,10.0,,,,,100
ID0976,Jim,2021-01-18,9:36:00,Streaming,Y,Y,80.0,417.0,8.0,,,,,0
ID0977,Stewart,2021-01-18,10:16:19,Contract related,Y,Y,45.0,420.0,10.0,,,,,100
ID0978,Joe,2021-01-18,10:16:19,Admin Support,Y,Y,95.0,136.0,2.0,,,,,-100
ID0980,Dan,2021-01-18,11:28:19,Payment related,Y,Y,33.0,88.0,6.0,,,,,-100
ID0982,Jim,2021-01-18,11:47:02,Streaming,Y,Y,90.0,407.0,6.0,,,,,-100
ID0983,Greg,2021-01-18,11:51:22,Payment related,Y,Y,90.0,134.0,6.0,,,,,-100
ID0984,Jim,2021-01-18,11:51:22,Streaming,Y,N,57.0,250.0,2.0,,,,,-100
ID0985,Becky,2021-01-18,11:55:41,Admin Support,Y,Y,123.0,350.0,4.0,,,,,-100
ID0986,Diane,2021-01-18,11:55:41,Admin Support,Y,Y,39.0,411.0,8.0,,,,,0
ID0987,Greg,2021-01-18,11:57:07,Technical Support,Y,N,38.0,136.0,10.0,,,,,100
ID0988,Diane,2021-01-18,11:57:07,Streaming,Y,Y,26.0,95.0,2.0,,,,,-100
ID0989,Diane,2021-01-18,11:58:34,Contract related,Y,Y,43.0,154.0,6.0,,,,,-100
ID0990,Jim,2021-01-18,11:58:34,Streaming,Y,Y,89.0,353.0,6.0,,,,,-100
ID0991,Jim,2021-01-18,12:00:00,Contract related,Y,Y,121.0,324.0,6.0,,,,,-100
ID0992,Jim,2021-01-18,12:00:00,Payment related,Y,Y,114.0,190.0,8.0,,,,,0
ID0996,Becky,2021-01-18,12:37:26,Admin Support,Y,N,101.0,276.0,6.0,,,,,-100
ID0997,Joe,2021-01-18,12:38:53,Payment related,Y,Y,87.0,319.0,8.0,,,,,0
ID0998,Greg,2021-01-18,12:38:53,Admin Support,Y,Y,22.0,362.0,10.0,,,,,100
ID0999,Stewart,2021-01-18,12:41:46,Streaming,Y,Y,19.0,237.0,4.0,,,,,-100
ID1000,Becky,2021-01-18,12:41:46,Admin Support,Y,Y,31.0,150.0,8.0,,,,,0
ID1001,Martha,2021-01-18,12:48:58,Payment related,Y,Y,24.0,363.0,8.0,,,,,0
ID1002,Dan,2021-01-18,12:48:58,Payment related,Y,N,94.0,282.0,8.0,,,,,0
ID1003,Dan,2021-01-18,13:10:34,Streaming,Y,Y,79.0,47.0,8.0,,,,,0
ID1005,Martha,2021-01-18,13:10:34,Admin Support,Y,Y,87.0,280.0,8.0,,,,,0
ID1006,Dan,2021-01-18,13:10:34,Contract related,Y,N,65.0,364.0,8.0,,,,,0
ID1007,Martha,2021-01-18,14:58:34,Contract related,Y,Y,36.0,263.0,6.0,,,,,-100
ID1009,Stewart,2021-01-18,15:18:43,Streaming,Y,Y,33.0,136.0,8.0,,,,,0
ID1012,Greg,2021-01-18,15:50:24,Streaming,Y,Y,24.0,195.0,10.0,,,,,100
ID1013,Stewart,2021-01-18,16:12:00,Admin Support,Y,Y,32.0,220.0,10.0,,,,,100
ID1014,Joe,2021-01-18,16:12:00,Contract related,Y,N,24.0,226.0,8.0,,,,,0
ID1015,Stewart,2021-01-18,16:49:26,Technical Support,Y,Y,96.0,329.0,10.0,,,,,100
ID1016,Joe,2021-01-18,16:49:26,Technical Support,Y,Y,45.0,125.0,10.0,,,,,100
ID1017,Jim,2021-01-18,17:13:55,Admin Support,Y,Y,16.0,309.0,2.0,,,,,-100
ID1018,Greg,2021-01-18,17:13:55,Technical Support,Y,Y,75.0,416.0,10.0,,,,,100
ID1019,Joe,2021-01-18,17:18:14,Contract related,Y,Y,71.0,37.0,6.0,,,,,-100
ID1020,Stewart,2021-01-18,17:18:14,Technical Support,Y,Y,47.0,137.0,6.0,,,,,-100
ID1021,Stewart,2021-01-18,17:18:14,Admin Support,Y,Y,54.0,288.0,6.0,,,,,-100
ID1022,Becky,2021-01-18,17:18:14,Payment related,Y,Y,101.0,269.0,8.0,,,,,0
ID1023,Martha,2021-01-18,17:25:26,Streaming,Y,Y,46.0,127.0,6.0,,,,,-100
ID1024,Becky,2021-01-18,17:25:26,Technical Support,Y,Y,45.0,415.0,6.0,,,,,-100
ID1025,Martha,2021-01-18,17:26:53,Technical Support,Y,Y,45.0,325.0,8.0,,,,,0
ID1026,Jim,2021-01-18,17:26:53,Admin Support,Y,Y,30.0,298.0,10.0,,,,,100
ID1027,Greg,2021-01-18,17:42:43,Technical Support,Y,Y,105.0,294.0,8.0,,,,,0
ID1028,Jim,2021-01-18,17:42:43,Payment related,Y,Y,102.0,294.0,8.0,,,,,0
ID1029,Greg,2021-01-18,17:55:41,Payment related,Y,Y,46.0,301.0,6.0,,,,,-100
ID1030,Stewart,2021-01-18,17:55:41,Admin Support,Y,Y,11.0,52.0,2.0,,,,,-100
ID1031,Dan,2021-01-19,9:02:53,Payment related,Y,Y,125.0,363.0,6.0,,,,,-100
ID1032,Stewart,2021-01-19,9:02:53,Admin Support,Y,Y,112.0,113.0,6.0,,,,,-100
ID1033,Becky,2021-01-19,9:15:50,Technical Support,Y,Y,14.0,116.0,6.0,,,,,-100
ID1034,Joe,2021-01-19,9:15:50,Contract related,Y,N,10.0,283.0,8.0,,,,,0
ID1035,Martha,2021-01-19,9:18:43,Contract related,Y,Y,60.0,32.0,6.0,,,,,-100
ID1036,Diane,2021-01-19,9:18:43,Streaming,Y,Y,59.0,302.0,10.0,,,,,100
ID1037,Stewart,2021-01-19,9:36:00,Technical Support,Y,Y,87.0,223.0,10.0,,,,,100
ID1038,Martha,2021-01-19,9:36:00,Contract related,Y,Y,111.0,186.0,10.0,,,,,100
ID1040,Becky,2021-01-19,9:44:38,Payment related,Y,Y,10.0,191.0,4.0,,,,,-100
ID1043,Greg,2021-01-19,10:19:12,Payment related,Y,Y,116.0,348.0,10.0,,,,,100
ID1044,Diane,2021-01-19,10:19:12,Admin Support,Y,N,89.0,200.0,6.0,,,,,-100
ID1046,Joe,2021-01-19,10:33:36,Contract related,Y,N,106.0,232.0,8.0,,,,,0
ID1048,Martha,2021-01-19,10:52:19,Streaming,Y,Y,81.0,87.0,8.0,,,,,0
ID1050,Jim,2021-01-19,11:25:26,Admin Support,Y,Y,96.0,339.0,10.0,,,,,100
ID1051,Jim,2021-01-19,11:44:10,Payment related,Y,Y,64.0,366.0,10.0,,,,,100
ID1052,Jim,2021-01-19,11:44:10,Contract related,Y,N,79.0,409.0,2.0,,,,,-100
ID1053,Jim,2021-01-19,11:55:41,Payment related,Y,Y,98.0,143.0,2.0,,,,,-100
ID1054,Joe,2021-01-19,11:55:41,Admin Support,Y,Y,91.0,240.0,10.0,,,,,100
ID1056,Stewart,2021-01-19,12:28:48,Contract related,Y,Y,84.0,404.0,4.0,,,,,-100
ID1057,Joe,2021-01-19,12:40:19,Technical Support,Y,Y,47.0,358.0,10.0,,,,,100
ID1058,Martha,2021-01-19,12:40:19,Payment related,Y,Y,42.0,126.0,10.0,,,,,100
ID1059,Dan,2021-01-19,12:59:02,Streaming,Y,N,45.0,224.0,8.0,,,,,0
ID1061,Jim,2021-01-19,13:14:53,Payment related,Y,Y,19.0,96.0,10.0,,,,,100
ID1062,Greg,2021-01-19,13:14:53,Contract related,Y,Y,114.0,85.0,6.0,,,,,-100
ID1063,Jim,2021-01-19,13:22:05,Admin Support,Y,Y,94.0,57.0,10.0,,,,,100
ID1065,Diane,2021-01-19,13:26:24,Streaming,Y,Y,99.0,136.0,10.0,,,,,100
ID1066,Diane,2021-01-19,13:26:24,Streaming,Y,Y,23.0,272.0,8.0,,,,,0
ID1068,Dan,2021-01-19,13:36:29,Admin Support,Y,Y,80.0,292.0,10.0,,,,,100
ID1069,Stewart,2021-01-19,13:37:55,Payment related,Y,Y,18.0,319.0,6.0,,,,,-100
ID1071,Martha,2021-01-19,13:45:07,Payment related,Y,Y,104.0,213.0,8.0,,,,,0
ID1072,Martha,2021-01-19,13:45:07,Payment related,Y,Y,116.0,345.0,6.0,,,,,-100
ID1073,Stewart,2021-01-19,14:22:34,Streaming,Y,Y,44.0,369.0,10.0,,,,,100
ID1074,Joe,2021-01-19,14:22:34,Payment related,Y,Y,91.0,403.0,8.0,,,,,0
ID1076,Martha,2021-01-19,15:00:00,Technical Support,Y,Y,122.0,255.0,6.0,,,,,-100
ID1077,Becky,2021-01-19,15:30:14,Streaming,Y,Y,103.0,169.0,6.0,,,,,-100
ID1078,Becky,2021-01-19,15:30:14,Technical Support,Y,Y,18.0,121.0,10.0,,,,,100
ID1079,Jim,2021-01-19,15:34:34,Contract related,Y,Y,20.0,147.0,8.0,,,,,0
ID1080,Greg,2021-01-19,15:34:34,Payment related,Y,Y,93.0,101.0,4.0,,,,,-100
ID1082,Joe,2021-01-19,15:54:43,Technical Support,Y,Y,63.0,260.0,8.0,,,,,0
ID1083,Greg,2021-01-19,16:09:07,Contract related,Y,Y,90.0,392.0,8.0,,,,,0
ID1084,Dan,2021-01-19,16:09:07,Contract related,Y,Y,43.0,240.0,8.0,,,,,0
ID1085,Jim,2021-01-19,16:40:48,Contract related,Y,N,105.0,110.0,8.0,,,,,0
ID1086,Joe,2021-01-19,16:40:48,Contract related,Y,Y,59.0,310.0,10.0,,,,,100
ID1087,Joe,2021-01-19,16:56:38,Admin Support,Y,Y,115.0,407.0,8.0,,,,,0
ID1088,Dan,2021-01-19,16:56:38,Payment related,Y,Y,106.0,111.0,8.0,,,,,0
ID1089,Becky,2021-01-19,17:15:22,Streaming,Y,Y,35.0,59.0,6.0,,,,,-100
ID1090,Diane,2021-01-19,17:15:22,Contract related,Y,Y,48.0,395.0,8.0,,,,,0
ID1092,Jim,2021-01-19,17:24:00,Technical Support,Y,Y,56.0,398.0,8.0,,,,,0
ID1094,Stewart,2021-01-20,9:05:46,Admin Support,Y,Y,99.0,279.0,8.0,,,,,0
ID1095,Joe,2021-01-20,9:46:05,Admin Support,Y,Y,71.0,161.0,6.0,,,,,-100
ID1096,Stewart,2021-01-20,9:46:05,Payment related,Y,Y,54.0,264.0,8.0,,,,,0
ID1099,Jim,2021-01-20,9:46:05,Streaming,Y,Y,54.0,86.0,8.0,,,,,0
ID1100,Joe,2021-01-20,9:46:05,Technical Support,Y,Y,62.0,109.0,4.0,,,,,-100
ID1101,Stewart,2021-01-20,10:22:05,Payment related,Y,Y,24.0,248.0,8.0,,,,,0
ID1102,Jim,2021-01-20,10:22:05,Admin Support,Y,Y,94.0,250.0,10.0,,,,,100
ID1103,Becky,2021-01-20,11:24:00,Payment related,Y,Y,43.0,56.0,6.0,,,,,-100
ID1105,Joe,2021-01-20,12:00:00,Streaming,Y,Y,58.0,254.0,10.0,,,,,100
ID1106,Greg,2021-01-20,12:00:00,Payment related,Y,Y,15.0,395.0,2.0,,,,,-100
ID1107,Becky,2021-01-20,12:07:12,Contract related,Y,Y,102.0,76.0,2.0,,,,,-100
ID1108,Greg,2021-01-20,12:07:12,Contract related,Y,Y,40.0,322.0,4.0,,,,,-100
ID1109,Diane,2021-01-20,12:27:22,Technical Support,Y,Y,63.0,290.0,4.0,,,,,-100
ID1110,Martha,2021-01-20,12:27:22,Streaming,Y,Y,77.0,382.0,8.0,,,,,0
ID1111,Martha,2021-01-20,12:59:02,Technical Support,Y,Y,93.0,330.0,8.0,,,,,0
ID1112,Becky,2021-01-20,12:59:02,Streaming,Y,Y,101.0,202.0,10.0,,,,,100
ID1113,Stewart,2021-01-20,13:00:29,Payment related,Y,Y,34.0,34.0,10.0,,,,,100
ID1114,Stewart,2021-01-20,13:00:29,Payment related,Y,Y,64.0,94.0,10.0,,,,,100
ID1115,Greg,2021-01-20,13:26:24,Technical Support,Y,N,25.0,392.0,6.0,,,,,-100
ID1116,Jim,2021-01-20,13:26:24,Admin Support,Y,Y,122.0,133.0,8.0,,,,,0
ID1117,Stewart,2021-01-20,13:26:24,Streaming,Y,Y,36.0,61.0,8.0,,,,,0
ID1118,Stewart,2021-01-20,13:26:24,Contract related,Y,Y,37.0,94.0,6.0,,,,,-100
ID1119,Joe,2021-01-20,13:59:31,Streaming,Y,Y,112.0,406.0,6.0,,,,,-100
ID1121,Jim,2021-01-20,14:03:50,Admin Support,Y,Y,57.0,293.0,6.0,,,,,-100
ID1122,Jim,2021-01-20,14:03:50,Admin Support,Y,Y,14.0,148.0,6.0,,,,,-100
ID1123,Becky,2021-01-20,16:00:29,Admin Support,Y,Y,72.0,251.0,4.0,,,,,-100
ID1124,Becky,2021-01-20,16:00:29,Admin Support,Y,Y,60.0,392.0,6.0,,,,,-100
ID1125,Becky,2021-01-20,16:20:38,Payment related,Y,Y,52.0,177.0,10.0,,,,,100
ID1127,Joe,2021-01-20,17:42:43,Streaming,Y,Y,73.0,45.0,6.0,,,,,-100
ID1128,Becky,2021-01-20,17:42:43,Contract related,Y,Y,108.0,140.0,8.0,,,,,0
ID1129,Joe,2021-01-20,17:55:41,Streaming,Y,Y,50.0,108.0,8.0,,,,,0
ID1131,Joe,2021-01-20,17:57:07,Admin Support,Y,N,100.0,244.0,4.0,,,,,-100
ID1132,Joe,2021-01-20,17:57:07,Technical Support,Y,Y,69.0,82.0,6.0,,,,,-100
ID1133,Becky,2021-01-21,9:20:10,Streaming,Y,Y,39.0,131.0,2.0,,,,,-100
ID1134,Jim,2021-01-21,9:20:10,Technical Support,Y,Y,71.0,174.0,10.0,,,,,100
ID1136,Greg,2021-01-21,9:37:26,Technical Support,Y,Y,79.0,79.0,10.0,,,,,100
ID1137,Martha,2021-01-21,9:56:10,Contract related,Y,Y,57.0,324.0,6.0,,,,,-100
ID1138,Diane,2021-01-21,9:56:10,Admin Support,Y,Y,82.0,293.0,8.0,,,,,0
ID1139,Jim,2021-01-21,10:14:53,Contract related,Y,Y,73.0,193.0,2.0,,,,,-100
ID1140,Jim,2021-01-21,10:14:53,Technical Support,Y,Y,110.0,131.0,10.0,,,,,100
ID1141,Martha,2021-01-21,10:19:12,Admin Support,Y,Y,106.0,109.0,10.0,,,,,100
ID1142,Jim,2021-01-21,10:19:12,Streaming,Y,Y,92.0,133.0,8.0,,,,,0
ID1143,Greg,2021-01-21,10:24:58,Streaming,Y,Y,28.0,360.0,8.0,,,,,0
ID1144,Martha,2021-01-21,10:24:58,Contract related,Y,Y,108.0,362.0,2.0,,,,,-100
ID1145,Becky,2021-01-21,10:53:46,Streaming,Y,Y,57.0,107.0,8.0,,,,,0
ID1146,Martha,2021-01-21,10:53:46,Contract related,Y,Y,109.0,356.0,6.0,,,,,-100
ID1147,Greg,2021-01-21,10:59:31,Contract related,Y,Y,55.0,97.0,4.0,,,,,-100
ID1149,Dan,2021-01-21,11:15:22,Payment related,Y,Y,68.0,413.0,2.0,,,,,-100
ID1150,Jim,2021-01-21,11:15:22,Admin Support,Y,N,46.0,34.0,6.0,,,,,-100
ID1151,Jim,2021-01-21,12:02:53,Technical Support,Y,Y,30.0,299.0,6.0,,,,,-100
ID1152,Martha,2021-01-21,12:02:53,Admin Support,Y,Y,107.0,50.0,8.0,,,,,0
ID1153,Greg,2021-01-21,12:02:53,Technical Support,Y,Y,122.0,385.0,10.0,,,,,100
ID1155,Stewart,2021-01-21,12:07:12,Technical Support,Y,Y,18.0,37.0,10.0,,,,,100
ID1160,Stewart,2021-01-21,15:48:58,Streaming,Y,Y,99.0,134.0,8.0,,,,,0
ID1161,Dan,2021-01-21,16:03:22,Contract related,Y,Y,52.0,107.0,4.0,,,,,-100
ID1164,Jim,2021-01-21,16:20:38,Contract related,Y,Y,79.0,47.0,6.0,,,,,-100
ID1165,Martha,2021-01-21,16:29:17,Streaming,Y,Y,112.0,171.0,10.0,,,,,100
ID1166,Diane,2021-01-21,16:29:17,Payment related,Y,Y,16.0,263.0,6.0,,,,,-100
ID1167,Joe,2021-01-21,16:46:34,Contract related,Y,Y,22.0,418.0,6.0,,,,,-100
ID1168,Dan,2021-01-21,16:46:34,Contract related,Y,Y,115.0,85.0,2.0,,,,,-100
ID1169,Dan,2021-01-21,17:11:02,Technical Support,Y,Y,125.0,277.0,8.0,,,,,0
ID1170,Martha,2021-01-21,17:11:02,Payment related,Y,Y,68.0,306.0,6.0,,,,,-100
ID1171,Jim,2021-01-21,17:26:53,Technical Support,Y,Y,44.0,76.0,8.0,,,,,0
ID1173,Stewart,2021-01-21,17:26:53,Streaming,Y,Y,119.0,42.0,8.0,,,,,0
ID1174,Martha,2021-01-21,17:26:53,Streaming,Y,Y,62.0,54.0,10.0,,,,,100
ID1175,Greg,2021-01-21,17:26:53,Streaming,Y,Y,84.0,364.0,10.0,,,,,100
ID1177,Greg,2021-01-21,17:36:58,Streaming,Y,Y,75.0,388.0,8.0,,,,,0
ID1178,Martha,2021-01-21,17:36:58,Payment related,Y,Y,114.0,174.0,8.0,,,,,0
ID1180,Stewart,2021-01-21,17:38:24,Admin Support,Y,Y,21.0,130.0,8.0,,,,,0
ID1182,Diane,2021-01-22,9:11:31,Admin Support,Y,Y,20.0,68.0,6.0,,,,,-100
ID1183,Diane,2021-01-22,9:11:31,Technical Support,Y,Y,112.0,217.0,2.0,,,,,-100
ID1184,Becky,2021-01-22,9:11:31,Streaming,Y,Y,85.0,324.0,8.0,,,,,0
ID1185,Martha,2021-01-22,9:24:29,Admin Support,Y,Y,34.0,367.0,6.0,,,,,-100
ID1186,Diane,2021-01-22,9:24:29,Streaming,Y,Y,53.0,302.0,8.0,,,,,0
ID1187,Martha,2021-01-22,9:48:58,Streaming,Y,Y,103.0,134.0,10.0,,,,,100
ID1188,Becky,2021-01-22,9:48:58,Contract related,Y,Y,98.0,413.0,8.0,,,,,0
ID1189,Becky,2021-01-22,9:59:02,Technical Support,Y,Y,23.0,284.0,2.0,,,,,-100
ID1190,Martha,2021-01-22,9:59:02,Admin Support,Y,Y,53.0,77.0,4.0,,,,,-100
ID1192,Diane,2021-01-22,10:37:55,Contract related,Y,N,55.0,280.0,8.0,,,,,0
ID1193,Martha,2021-01-22,11:39:50,Admin Support,Y,Y,77.0,302.0,10.0,,,,,100
ID1194,Becky,2021-01-22,11:39:50,Technical Support,Y,Y,46.0,365.0,6.0,,,,,-100
ID1196,Martha,2021-01-22,11:42:43,Payment related,Y,Y,39.0,305.0,8.0,,,,,0
ID1197,Greg,2021-01-22,11:55:41,Payment related,Y,Y,13.0,420.0,6.0,,,,,-100
ID1198,Jim,2021-01-22,11:55:41,Admin Support,Y,Y,84.0,334.0,10.0,,,,,100
ID1199,Dan,2021-01-22,11:55:41,Admin Support,Y,Y,60.0,286.0,6.0,,,,,-100
ID1200,Dan,2021-01-22,11:55:41,Admin Support,Y,Y,32.0,35.0,10.0,,,,,100
ID1204,Dan,2021-01-22,14:19:41,Payment related,Y,Y,67.0,402.0,8.0,,,,,0
ID1205,Stewart,2021-01-22,14:22:34,Streaming,Y,N,94.0,238.0,8.0,,,,,0
ID1206,Stewart,2021-01-22,14:22:34,Streaming,Y,Y,92.0,370.0,2.0,,,,,-100
ID1207,Becky,2021-01-22,14:44:10,Streaming,Y,Y,35.0,70.0,6.0,,,,,-100
ID1208,Diane,2021-01-22,14:44:10,Admin Support,Y,Y,57.0,81.0,10.0,,,,,100
ID1210,Jim,2021-01-22,14:48:29,Admin Support,Y,Y,15.0,295.0,8.0,,,,,0
ID1211,Becky,2021-01-22,14:49:55,Admin Support,Y,N,54.0,195.0,10.0,,,,,100
ID1212,Greg,2021-01-22,14:49:55,Payment related,Y,Y,99.0,60.0,2.0,,,,,-100
ID1218,Becky,2021-01-22,16:01:55,Streaming,Y,Y,78.0,65.0,10.0,,,,,100
ID1220,Jim,2021-01-22,16:39:22,Payment related,Y,N,35.0,309.0,10.0,,,,,100
ID1222,Stewart,2021-01-22,16:50:53,Contract related,Y,Y,33.0,369.0,10.0,,,,,100
ID1223,Greg,2021-01-22,16:56:38,Streaming,Y,Y,72.0,249.0,10.0,,,,,100
ID1224,Joe,2021-01-22,16:56:38,Technical Support,Y,N,82.0,302.0,2.0,,,,,-100
ID1226,Greg,2021-01-22,17:25:26,Payment related,Y,Y,115.0,252.0,10.0,,,,,100
ID1227,Diane,2021-01-22,17:38:24,Streaming,Y,Y,64.0,102.0,6.0,,,,,-100
ID1229,Jim,2021-01-22,17:47:02,Payment related,Y,Y,71.0,241.0,4.0,,,,,-100
ID1230,Becky,2021-01-22,17:47:02,Streaming,Y,N,50.0,308.0,6.0,,,,,-100
ID1231,Greg,2021-01-23,9:31:41,Streaming,Y,Y,116.0,73.0,4.0,,,,,-100
ID1232,Martha,2021-01-23,9:31:41,Admin Support,Y,Y,52.0,87.0,10.0,,,,,100
ID1233,Greg,2021-01-23,9:40:19,Technical Support,Y,Y,112.0,217.0,10.0,,,,,100
